Date,USD_KRW,JPY_KRW,CNY_KRW,EUR_KRW,NASDAQ_Index,S&P500_Index,Crude_Oil_Price,GDP_Growth_Rate,CPI,KOSPI,KOSDAQ,Fed_Funds_Rate,Inflation_Rate
2014-01-01,1487.158818602207,10.830213423677279,175.41432198624622,1676.4126574732386,11478.221238118076,3978.76063142029,94.87493003775931,2.093675116558188,100.50254771487123,2865.329988358709,778.3304164932655,4.898555948589926,3.9132697744526856
2014-01-02,1008.5864953311848,10.936017018174738,160.1851645828288,1243.2045798800696,8015.216486471112,2706.842474949518,53.0046143961728,3.738787715713824,103.79438352372917,2230.1259927101687,636.4321969458367,2.341190414182936,3.725323728414831
2014-01-03,1473.8258265405445,9.141830881148604,188.15949353597475,1669.4454997326536,12294.273203864586,2587.4734965137523,91.66927696759522,1.3897078799088085,113.79259601120796,2691.399921899496,780.5467595719005,1.136778751492667,3.9142229626490104
2014-01-04,1184.3387119245724,9.190687917385215,162.06853190020018,1355.6190234323674,10491.702171017485,2912.205558354082,44.1186561835022,4.287386641272052,113.90359493051118,2475.9953692230106,612.5965050285317,3.6039306940295615,3.661828732524131
2014-01-05,1005.0452025109407,9.875571942035135,185.34840899563278,1456.3307226836487,8824.335167609232,2528.575292975266,55.63821083883842,4.952912443675828,111.6437644883389,2746.077760429067,876.9626299921952,4.144737685950688,1.33752581512742
2014-01-06,1344.578615862254,8.087155799049022,178.9235461506862,1254.421161413773,11112.383845284545,3898.9171417997686,98.38773274873847,2.4947637808311374,119.43920057381257,2164.9768789779573,859.0612416007791,1.7561781368247495,2.3130455894290165
2014-01-07,1490.270152015677,11.157292041444654,199.31249282359423,1235.4655341855046,13148.873255983133,2955.927488032263,53.87179925987694,3.0221204076595867,108.30630017439867,2239.0910389833884,658.2952270893674,4.142079537502183,1.2284690854337037
2014-01-08,1482.8128614187963,9.268355149096502,199.9950488504616,1414.7727243593015,14731.744562890928,3328.645250457188,47.98077904450247,2.770847919359209,108.34073624135038,2242.524469496667,778.1401998169896,1.7218448542978266,2.63589462003801
2014-01-09,1080.4685056012092,11.41505240800791,193.4763041658665,1570.848688189839,10618.734237854575,2977.104449318113,91.42327914837972,4.576750994556094,118.20952726448347,2548.465813508211,780.809736150859,3.619003271656866,2.5892702844375575
2014-01-10,1090.6239030330776,11.210521686400135,187.99916846493755,1334.6823887742744,11799.063090934837,2868.712932983235,47.068047505688746,1.0397361507875185,110.76883563993621,2289.624457805027,841.0297244105918,1.0616162879455944,3.7665350803488784
2014-01-11,1282.7694573098302,10.645608132475132,169.32282070002867,1481.17394446766,13958.710683545094,2728.54708596232,45.84736651477021,3.6138372846553444,107.074553231712,2811.722372834688,827.0761088256913,2.425203269458841,3.9090842353449498
